Filename?,Date,Time,IndividualID,Breaths,Time,RR,Current,ID0,Prox0,Prior1,ID1,Prior5,ID5,Prior15,ID15,PartyCurrent,PartyPrior15,Posture,Location,Video,Observer,Comments,GPS,TravelTime,TravelDistance,Speed,Climb1Dist,Climb1min
,8/12/2023,12:32:00 PM,"Anna_1,",,,0,"RecGr,","Rollins,","Rollins,Doudna,",,,"Travel,",,,,,,,"0.483948,30.412836",1,"Riley,Aaron,",,,,,0,,0
,8/13/2023,2:39:00 PM,"Anna_1,",,,0,"Feed,",,,,,"Travel,",,"Travel,",,,,,"0.515550,30.401710",0,"Aaron,",Feed  climbed leaves ,,,,0,,0
,8/13/2023,3:09:04 PM,"Anna_1,",,,0,"Rest,",,"Doudna,","Rest,",,"Feed,",,,,,,,"0.514175,30.401697",1,"Aaron,",,,,,0,,0
Bach_7-20-23_1248,7/20/2023,12:49:49 PM,"Bach,",,,0,"Rest.Relax,",,"Hutcherson,YoYo,Baez_2,Buckner,Camilla,RichBergl,Wes,Nyumbani_2,",,,"Rest,",,,,,,,"0.492697,30.411915",1,"Riley,",,,,,0,,0
Bach_7-20-23_1258,7/20/2023,12:58:22 PM,"Bach,",,,0,,,"Nyumbani_2,Wes,Buckner,RichBergl,Justine_2,Hutcherson,YoYo,Camilla,Baez_2,","Rest.Relax,",,"Rest.Relax,",,"Rest.Relax,",,,,"LyingBack,","0.492733,30.411960",1,"Riley,",,,,,0,,0
BobiWine_7-17-23_1356,7/17/2023,1:56:31 PM,"BobiWine,",,,0,"Rest.Relax,",,"Cannonball,Khutulun_0,Khutulun_infant,","Rest.Relax,",,"Rest.Relax,",,"Rest,",,,,"LyingBack,","0.481325,30.436277",1,"Riley,Aaron,",,,,,0,,0
BobiWine_7-17-23_1403,7/17/2023,2:03:22 PM,"BobiWine,",,,0,"Rest.Relax,",,"Cannonball,Khutulun_0,Khutulun_infant,","Rest.Relax,",,"Rest.Relax,",,"Rest.Relax,",,,,"LyingSide,","0.481362,30.436201",0,"Riley,Aaron,",,,,,0,,0
,8/11/2023,10:03:06 AM,"BobiWine,",,,0,"Rest,","Puccini,","Puccini,Bosko,Cannonball,",,,"Rest,",,"AlloGr,","Bosko,",,,"LyingSide,","0.488719,30.430883",1,"Riley,Aaron,",,,,,0,,0
,7/18/2023,11:55:38 AM,Bosko,18,60,18,Rest,,,,,Rest,,RecGrom,BobiWine,,,"LyingSide,","0.438677,30.405815",0,"Riley,",,,,,0,,0
,7/18/2023,12:03:47 PM,Bosko,18,60,18,Rest,,,,,Rest,,Rest,,,,"LyingSide,","0.436590,30.388081",0,"Riley,",,,,,0,,0
,7/18/2023,12:10:39 PM,Bosko,20,60,20,Rest,,,Rest,,Rest,,Rest,,,,"LyingSide,","0.438169,30.406021",0,"Riley,","Calls from chimps in distance, raised head up and directed gaze in that direction ",,,,0,,0
,7/19/2023,11:58:37 AM,Bosko,10,37,16.2162,Rest,,PucciniPuccini,Rest,Puccini,Rest,"Puccini,Shire",Rest,"Puccini,Shire",,,"LyingSide,","0.438361,30.403858",0,"Riley,",,,,,0,,0
Bosko_7-17-23_1325,7/17/2023,1:25:26 PM,"Bosko,",20,60,20,"RecGr,","Cannonball,","Cannonball,Puccini,Woodrow,","RecGr,","Puccini,","RecGr,","Puccini,","RecGr,","Puccini,Cannonball,",,,"LyingSide,","0.481975,30.435974",0,"Aaron,",,,,,0,,0
Bosko_C0252,8/11/2023,8:25:43 AM,"Bosko,",,,0,"Rest,Travel,",,,"Travel,",,"OutOfSight,Travel,",,,,,,,"0.488364,30.430995",1,"Riley,",Mid climbing up tree; piloerect ,,,,0,15,1
Bowie_7-20-23_1222,7/20/2023,12:22:00 PM,"Bowie,",13,30,26,"Rest.Relax,",,"Buckner,Hutcherson,Wes,YoYo,Justine_2,","Rest,",,,,"OutView,Feed,",,,,"LyingBack,","0.492738,30.411988",1,"Riley,Aaron,",,,,,0,,0
Bowie_7-20-23_1231,7/20/2023,12:31:21 PM,"Bowie,",12.5,30,25,,,"Buckner,Hutcherson,Wes,YoYo,Justine_2,",,,,,,,,,,"0.492798,30.411952",0,"Riley,Aaron,",,,,,0,,0
Bowie_7-20-23_1234,7/20/2023,12:34:28 PM,"Bowie,",,,0,,,"Buckner,Hutcherson,Wes,YoYo,Justine_2,",,,,,,,,,,"0.492807,30.411981",0,"Riley,Aaron,",,,,,0,,0
Buckner_7-13-23_1442,7/13/2023,2:42:16 PM,"Buckner,",14,46,18.2609,"RecGr,","Holland,",,"RecGr,",,"RecGr,","Holland,",,,,,"LyingBack,","0.487481,30.400234",0,"Aaron,Riley,",9 in 30,,,,0,,0
Buckner_7-15-23_0912,7/15/2023,9:13:02 AM,"Buckner,",4,13,18.46153846,"RecGr,","Holland,","Holland,RichBergl,","RecGr,","Holland,","RecGr,","Holland,","RecGr,","RichBergl,","Buckner,Garrison,Holland,Lucrezia_2,RichBergl,YoYo,","Buckner,Garrison,Holland,Lucrezia_2,RichBergl,YoYo,","LyingBack,","0.488295,30.411482",1,"Aaron,Riley,",10 seconds ,,,,0,,0
Buckner_7-15-23_1305,7/15/2023,1:05:46 PM,"Buckner,",10,35,17.14285714,"SelfScratch,",,,"Rest.Alert,",,"Travel,",,"Feed,",,,,"LyingBack,","0.490544,30.411341",1,"Aaron,Riley,",Climbed out or Ficus mucuso at 13:00  ; garrison 7 m away ,,0.5,12,24,,0
Buckner_7-15-23_1446,7/15/2023,2:47:15 PM,"Buckner,",16,60,16,"RecGr,","Holland,","Holland,","RecGr,","Holland,","AlloGr,RecGr,","Holland,","Rest,",,,,"LyingSide,","0.492199,30.411219",1,"Aaron,Riley,",,,,,0,,0
Buckner_7-20-23_1252,7/20/2023,12:52:41 PM,"Buckner,",,,18.47,"Rest.Relax,",,"Bach,Wes,Baez_2,Camilla,Nyumbani_2,Hutcherson,YoYo,RichBergl,","Rest.Relax,",,"RecGr,","Baez_2,","RecGr,AlloGr,","Baez_2,",,,"LyingSide,","0.492702,30.411933",1,"Riley,",Maybe also receive groom Wes 15 min ago?,,,,0,,0
Buckner_7-23-23_1415,7/23/2023,2:15:36 PM,"Buckner,",,,20,"Rest.Relax,",,"Hutcherson,YoYo,Wes,Williams,Bach,Larson,","Rest.Relax,",,"Rest.Relax,",,"Rest.Relax,",,,,"LyingSide,","0.506461,30.421650",1,"Riley,",,,,,0,,0
Cannonball_7-17-23_1328,7/17/2023,1:28:40 PM,"Cannonball,",19.5,49,23.8776,"RecGr,","Woodrow,","Woodrow,Bosko,Puccini,","AlloGr,","Bosko,","AlloGr,","Bosko,","AlloGr,","Bosko,",,,"LyingBack,","0.481990,30.435975",0,"Riley,",,,,,0,,0
Cannonball_7-17-23_1346,7/17/2023,1:46:17 PM,"Cannonball,",,,0,"RecGr,","Khutulun_0,","Khutulun_0,Khutulun_infant,BobiWine,","RecGr,","Khutulun_0,","RecGr,AlloGr,","Khutulun_0,","Travel,",,,,,"0.481339,30.436201",1,"Riley,Aaron,",Aaron counted; ,,3,65,21.7,,0
Cannonball_7-21-23_1225,7/21/2023,12:25:35 PM,"Cannonball,",22,60,22,,,,"Rest,",,,,,,,,"LyingSide,","0.478775,30.447069",1,"Aaron,",21.5 ish ; probably resting for last 5 to 15 ,,,,0,,0
,8/10/2023,12:52:00 PM,"Cannonball,",,,0,"Rest.Relax,",,,"Rest,",,"Rest.Relax,",,"Travel,Display,",,,,"LyingBack,","0.486166,30.433577",1,"Riley,Aaron,",Helicopter flew over at 12:39,,,,0,,0
,8/10/2023,12:56:25 PM,"Cannonball,",17,30,34,"Rest,",,,"PantHoot,",,"Rest.Relax,",,"Rest,",,,,"LyingBack,","0.486062,30.433478",1,"Riley,Aaron,",,,,,0,,0
,8/10/2023,1:04:07 PM,"Cannonball,",,,0,"Rest,",,,,,"RecCharge,PG.bark,","Mitchell,Evans,","Rest,",,,,"Sit,","0.486302,30.433551",1,"Riley,Aaron,",Around 13:00 charged by Mitchell and evans (and Puccini joined?) ; ,,,,0,,0
,8/10/2023,1:11:28 PM,"Cannonball,",12.5,30,25,"Rest.Alert,",,,"Rest.Relax,",,"Rest.Relax,",,"RecCharge,PG.bark,Rest,",,,,"LyingBack,","0.486217,30.433583",0,"Riley,Aaron,",David rustling at middle start ,,,,0,,0
,8/10/2023,1:19:02 PM,"Cannonball,",,,0,"Rest.Relax,",,,"Rest.Relax,",,"Rest.Relax,",,"Rest,",,,,,"0.486152,30.433499",1,"Riley,Aaron,",Eyes closed ,,,,0,,0
,8/11/2023,9:24:54 AM,"Cannonball,",12,30,24,"Rest?,",,,,,,,,,,,,"0.488669,30.430923",1,"Riley,Aaron,",,,,,0,,0
,8/11/2023,9:39:50 AM,"Cannonball,",11,30,22,"Rest,",,"Wilson,Cedar,Chopin,","Rest,",,"Rest,",,,,,,"LyingSide,","0.488726,30.430927",1,"Riley,Aaron,",,,,,0,,0
Cedar_7-17-23_1337,7/17/2023,1:37:29 PM,"Cedar,",,,0,"RecGr,","Mulligan,","Mulligan,Bosko,Cannonball,Woodrow,Puccin","RecGr,","Mulligan,","AlloGr,","Cedar,","Rest,",,,,"LyingBack,","0.482062,30.436014",1,"Riley,",,,,,0,,0
,8/10/2023,10:12:29 AM,"Cedar,",,,0,"Rest.Relax,",,,"Feed,Rest,",,"Feed,Rest,",,"Rest,",,,,,"0.475367,30.428858",1,"Riley,Aaron,",Mitchell and shire were within 15 m in prior 5 to 15 min ; feeding on ground stationary ,,,,0,,0
,8/11/2023,9:21:39 AM,"Cedar,",,,0,"Rest,",,"BobiWine,Bosko,","Rest,",,"Rest,",,,,,,,"0.488711,30.430748",1,"Riley,",,,,,0,,0
,8/11/2023,9:45:22 AM,"Cedar,",,,0,"RecGr,","Wilson,","Wilson,Cannonball,Chopin,","RecGr,","Wilson,","Rest,",,"Rest,",,,,,"0.488738,30.430816",1,"Riley,Aaron,",,,,,0,,0
,8/11/2023,9:54:18 AM,"Cedar,",,,0,"RecGr,","Wilson,","Wilson,Chopin,Cannonball,Shire_2,",,,"RecGr,","Wilson,","RecGr,Rest,","Wilson,",,,,"0.488706,30.430831",1,"Riley,Aaron,",,,,,0,,0
,7/18/2023,11:58:46 AM,Chopin,4,17,14.1176,RecGroom,BobiWine,,RecGroom,BobiWine,MutGroom,BobiWine,AlloGroom,BobiWine,,,"Quadrupedal,","0.438323,30.405865",0,"Riley,",,,,,0,,0
,7/18/2023,12:06:31 PM,Chopin,24.5,60,24.5,Rest,,,,,RecGroom,BobiWine,RecGroom,BobiWine,,,"LyingBack,","0.479064,30.448320",0,"Riley,","Heard chimp in the distance call, stood up, directed head in that direction, laid back down ",,,,0,,0
,7/18/2023,12:12:55 PM,Chopin,18,50,21.6,Rest,,,,,Rest,,Rest,,,,"LyingSide,","0.449299,30.424235",0,"Riley,",,,,,0,,0
Chopin_C0259,8/11/2023,9:31:23 AM,Chopin,,,0,Rest,,,Rest ,CedarWilsonCannonball,AlloGroom ,Wilson,AlloGroom ,Wilson,,,,"0.488721,30.430837",1,"Riley,",,,,,0,,0
Chopin_C0260,8/11/2023,9:38:17 AM,Chopin,,,0,Rest,Cedar Wilson cannonball,,Rest,CannonballCedarWilson,Rest,CannonballCedarWilson,AlloGroom ,Wilson,,,"LyingSide,","0.477979,30.410855",1,"Riley,",Eyes closed for parts of video,,,,0,,0
Chopin_7-21-23_1550,7/21/2023,3:50:03 PM,"Chopin,",,,0,"Rest.Alert,",,,"Rest.Alert,Display,",,"Display,",,"Rest,",,,,"Sit,","0.471389,30.442004",1,"Aaron,",,,,,0,,0
Chopin_7-21-23_1555,7/21/2023,3:55:34 PM,"Chopin,",24,60,24,"Rest.Alert,",,,"Rest.Alert,",,"Display,",,,,,,,"0.471414,30.442010",0,"Aaron,",Two kids in proximity ; violets around ,,,,0,,0
Chopin_S1710017,8/10/2023,11:17:07 AM,"Chopin,",,,0,"Feed,",,,"Travel,",,"Travel,",,,,,,"Sit,","0.477718,30.431388",1,"Riley,Aaron,",Heard calls and moved very quickly ; had been begging meet from shire ,,3.66,210,57.4,,0
Chopin_S1710025,8/10/2023,12:26:16 PM,"Chopin,",,,0,"Travel,",,"Cedar,","Travel,",,"Display,Travel,",,"Travel,",,,,,"0.485958,30.433362",0,"Riley,Aaron,",Cate_2 ahead 15 m; displayed 2 min ago at cate ,,,,0,,1
,8/12/2023,3:46:50 PM,Damien,,,0,Rest,,,Rest,,Rest,,Rest,,,,"LyingBack,","0.487412,30.403422",1,"Riley,","Fricka and Justine passed by, calls to the west",,,,0,,0
,8/12/2023,3:57:34 PM,Damien,,,0,Rest,,,Rest,,Rest ,,Rest,,,,"LyingBack,","0.500483,30.344547",1,"Riley,",,,,,0,,0
,8/12/2023,3:58:31 PM,Damien,,,0,Rest,,,Rest,,Rest,,Rest ,,,,"Sit,","0.487393,30.403435",1,"Riley,",Heard calls and sat up ,,,,0,,0
,8/13/2023,3:52:14 PM,Damien,11,30,22,Rest ,,,Climb,AnnaDoudnaRollins,Feed,AnnaDoudnaRollins,Feed,AnnaDoudnaRollins,,,"LyingBack,","0.519836,30.361159",1,"Aaron,",Climbed down Celtis Africana and immediately lied down at base of tree,,,,0,15,1
,8/12/2023,11:42:14 AM,"Damien,",,,0,"Rest,",,"EttaJames_0,","Rest,",,"Rest,",,,,,,,"0.483494,30.412333",0,"Riley,Aaron,",Etta left proximity ,,,,0,,0
,8/12/2023,11:47:57 AM,"Damien,",,,0,"Rest.Alert,",,,"Rest.Relax,",,"Rest,",,,,,,"LyingBack,","0.483467,30.412252",1,"Riley,Aaron,",Sat up and soft call mid video; others feeding in cordia; Etta in 15 m,,,,0,,0
,8/12/2023,11:51:00 AM,"Damien,",,,0,"Rest.Alert,",,,"Rest,",,"Rest,SelfGr,",,,,,,"Sit,","0.483457,30.412262",1,"Riley,Aaron,",,,,,0,,0
,8/12/2023,11:58:51 AM,"Damien,",20,60,20,"Rest.Relax,",,,"Rest,",,"Rest,",,"Rest,SelfGr,",,,,"LyingSide,","0.483459,30.412319",1,"Riley,Aaron,",,,,,0,,0
,8/12/2023,2:11:17 PM,"Damien,",9,30,18,"Rest,",,,"Rest.Relax,",,"Rest,Feed,",,"Travel,",,,,"LyingBack,","0.486012,30.405937",1,"Aaron,",,,,,0,,0
,8/12/2023,2:25:00 PM,"Damien,",,,0,"Rest.Relax,",,"Rollins,Hutcherson,YoYo,",,,"Rest,",,"Travel,Feed,",,,,"LyingBack,","0.485817,30.405218",1,"Aaron,",,,,,0,,0
,8/12/2023,4:17:04 PM,"Damien,",,,0,"RecGr,","Sabin_0,",,"Groom,","Sabin_0,","RecGr,AlloGr,","Sabin_0,","Groom,","Sabin_0,",,,"Quadrupedal,","0.488224,30.400865",1,"Riley,",,,,,0,,0
,8/12/2023,4:27:52 PM,"Damien,",5,15,20,"RecGr,","Sabin_0,","Sabin_0,Sabin_infant,","RecGr,Touch,","Sabin_0,Sabin_infant,","AlloGr,RecGr,","Sabin_0,","Groom,","Sabin_0,",,,"LyingSide,","0.488309,30.400874",1,"Aaron,","And receive touch Sabin_infant,",,,,0,,0
,8/13/2023,11:23:24 AM,"Damien,",,,0,"Rest,",,"Sally,Rollins,","Rest,",,"Travel,",,"Travel,",,,,"Sit,","0.515312,30.405398",1,"Aaron,",,,,,0,,0
,8/13/2023,11:28:18 AM,"Damien,",,,0,"Rest,",,,"Rest,",,"Hit,Display,Rest,","Anna_1,","Rest,Travel,",,,,"LyingSide,","0.515666,30.405329",1,"Riley,",,,,,0,,0
,8/13/2023,3:04:52 PM,"Damien,",9,30,18,,,,"Rest,",,"Feed,",,"Feed,Travel,",,,,"LyingBack,","0.514138,30.401651",1,"Aaron,",,,,,0,,0
Elton_S1710001,8/10/2023,9:08:00 AM,"Elton,",,,0,"Rest.Relax,",,,"Travel,",,"Rest,",,"OutView,Feed,",,,,"LyingBack,","0.474261,30.430142",1,"Riley,Aaron,",Wilson 17 m ,,1,15,15,8,1
,8/10/2023,9:17:01 AM,"Elton,",13,30,26,"Rest,",,,"Rest.Alert,",,"Rest.Relax,",,"OutView,",,,,"LyingBack,","0.474334,30.430101",1,"Riley,Aaron,",Wilson in 17 ; heard chimps calling from tree,,,,0,,0
Elton_S1710019,8/10/2023,11:55:48 AM,"Elton,",,,0,"Feed,",,,"Display,",,"Travel,",,"Travel,",,,,"Sit,","0.482989,30.432650",1,"Riley,Aaron,",Just 5 seconds or so ,,19,450,23.7,20,1
Evans_by_Elton_S1730014,8/11/2023,9:29:39 AM,"Elton,",,,0,"RecGr,","Evans,","Evans,","Rest.Relax,",,"AlloGr,RecGr,","Evans,","AlloGr,RecGr,","Evans,",,,"LyingBack,","0.488676,30.430773",1,"Riley,Aaron,",,,,,0,,0
,8/11/2023,9:43:33 AM,"Elton,",13,30,26,"Rest.Relax,",,,"Rest,",,"AlloGr,RecGr,","Evans,","Groom,","Evans,",,,,"0.488652,30.430900",1,"Riley,Aaron,",,,,,0,,0
