individualID,DOB,Sex,mother,father,Maturity,ID_notes,neighborhood,community,Focal,ogFocal,goneBy2018
Porkpie,1/1/1994,Male,,Parker,Independent,,central,central,1,1,0
Peterson,1/1/1995,Male,Aretha,Garrison,Independent,,central,central,1,1,0
Django,1/1/1997,Male,Betty,Dizzy,Independent,,central,central,1,1,0
Haden,1/1/1999,Male,Lita,Rude,Independent,,central,central,1,1,0
Abrams,12/1/1999,Male,Callas,Ornette,Independent,,central,central,1,1,0
Lovano,12/1/1999,Male,Fitzgerald,Hodge,Independent,,central,central,1,1,0
Wilson,12/1/1999,Male,Kidman,Bartok,Independent,,central,central,1,1,0
Barron,3/1/2001,Male,Sutherland,Hodge,Independent,,central,central,1,1,0
Erroll,1/1/2002,Male,Salome,Hare,Independent,,central,central,1,1,0
Booker,4/15/2002,Male,Sills,Hodge,Independent,,central,central,1,1,0
Jarman,1/1/2005,Male,Callas,Monk,Independent,,central,central,1,0,0
PeeWee,2/1/2006,Male,Brunhilde,Mulligan,Independent,,central,central,1,0,0
Fleck,6/1/2006,Male,Sarah,Getz,Independent,,central,central,1,0,0
Dylan,7/26/2006,Male,Fitzgerald,Webster,Independent,,central,central,1,0,0
Cannonball,7/30/2007,Male,Sigourney,Getz,Independent,,central,central,1,0,0
Orff,1/1/2005,Male,Sutherland,Hare,Independent,,central,central,0,0,0
Mweya,1/1/1962,Male,,,Independent,,central,central,0,0,1
Hare,1/1/1969,Male,Hare-Mother,,Independent,,central,central,0,0,1
Ornette,1/1/1977,Male,,,Independent,,central,central,0,0,1
Rahsaan,1/1/1987,Male,Kundry,Pincer,Independent,,central,central,0,0,1
Susan,5/1/2002,Female,Sigourney,Mweya,Independent,,central,central,0,0,1
Scarlet,9/1/2004,Female,Jolie,Berg,Independent,,central,central,0,0,1
Hawkins,1/1/1995,Male,Anderson,Hodge,Independent,,central-east,central,0,1,1
Jane,1/1/1970,Female,,,Independent,,central-north,central,0,0,1
Stella,7/1/1996,Female,,,Independent,,central-north,central,0,0,1
Anarkali,4/23/2014,Female,Stella,,Dependent,,central-north,central,0,0,1
Anderson,1/1/1974,Female,,,Independent,,east,central,0,0,1
Southpaw,1/1/1993,Male,,,Independent,,east,central,0,0,1
Hawkins,1/1/1995,Male,Anderson,Hodge,Independent,,east,central,0,0,1
Chingachgook,4/4/2014,Male,Atwood,Mulligan,Dependent,,east,central,0,0,1
Cate.infant1,8/25/2014,Unknown,Cate,,Dependent,,east,central,0,0,1
Benny,6/1/2000,Male,Cecilia,Garrison,Independent,,west,west,1,1,1
Thornton,1/1/1960,Female,,,Independent,,west,west,0,0,1
Cecilia,1/1/1976,Female,,,Independent,,west,west,0,0,1
Lucia,1/1/1986,Female,,,Independent,,west,west,0,0,1
Mansfield,10/1/1990,Female,,,Independent,,west,west,0,0,1
Herbie,1/1/1994,Male,,,Independent,,west,west,0,0,1
Samantha,1/1/1996,Female,,,Independent,,west,west,0,0,1
Rosa,10/15/2003,Female,Mansfield,Garrison,Independent,,west,west,0,0,1
Byrne,4/15/2005,Female,Kundry,Brownface,Independent,,west,west,0,0,1
Elvira,2/13/2012,Female,Bacall,Hutcherson,Dependent,,west,west,0,0,1
Kanawa,1/1/1970,Female,,,Independent,,west-central,west,0,0,1
Dizzy,1/1/1977,Male,,,Independent,,,central,0,0,1
Pilar,1/10/2017,Female,,,Dependent,,,central,0,0,1
Sutherland,1/1/1963,Female,,,Independent,,central,central,0,0,0
Lita,1/1/1968,Female,,,Independent,,central,central,0,0,0
Fitzgerald,1/1/1969,Female,,,Independent,,central,central,0,0,0
Monk,1/1/1972,Male,Garbo,Rude,Independent,,central,central,0,0,0
Bartok,1/1/1973,Male,Betty,,Independent,,central,central,0,0,0
Aretha,1/1/1975,Female,,,Independent,,central,central,0,0,0
Sigourney,1/1/1976,Female,,,Independent,,central,central,0,0,0
Leonora,1/1/1977,Female,,,Independent,,central,central,0,0,0
Sarah,1/1/1977,Female,,,Independent,,central,central,0,0,0
Miles,1/1/1981,Male,,Rude,Independent,,central,central,0,0,0
Bartoli,1/1/1983,Female,,,Independent,1/1/1984,central,central,0,0,0
Basie,1/1/1983,Male,Betty,,Independent,,central,central,0,0,0
Morton,1/1/1984,Male,Hare-Mother,,Independent,,central,central,0,0,0
